SourceFile,SourceFolder,Latitude (decimal),Longitude (decimal),Datetime,Participants,Sequence #,Latitude,Serial #,Probe Type,Terminal Depth,Depth Equation,Depth Coeff. 1,Depth Coeff. 2,Depth Coeff. 3,Depth Coeff. 4,Pressure Pt Correction,Display Units,Generated on,Date of Launch,Time of Launch,Longitude,Raw Data Filename,Sound velocity derived with assumed salinity
t703.edf,aug09a,12.9,81.98333,2009-08-14 03:46:41,"M. Rafeeq, Vinayak",0,12 54 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,8 /          28 /        2009,8/14/2009,3:46:41,81 59 E,N A,n.a. ppt
t705.edf,aug09a,12.6,83.98333,2009-08-14 12:25:38,"M. Rafeeq, Vinayak",0,12 36 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,8 /          28 /        2009,8/14/2009,12:25:38,83 59 E,N A,n.a. ppt
t706.edf,aug09a,12.43333,85.01667,2009-08-14 16:51:02,"M. Rafeeq, Vinayak",0,12 26 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,8 /          28 /        2009,8/14/2009,16:51: 2,85 01 E,N A,n.a. ppt
t707.edf,aug09a,12.28333,86.0,2009-08-14 21:07:29,"M. Rafeeq, Vinayak",0,12 17 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,8 /          28 /        2009,8/14/2009,21: 7:29,86 00 E,N A,n.a. ppt
t708.edf,aug09a,12.11667,87.1,2009-08-15 02:06:08,"M. Rafeeq, Vinayak",0,12  7 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,8 /          28 /        2009,8/15/2009,2: 6: 8,87  6 E,N A,n.a. ppt
t709.edf,aug09a,12.0,88.0,2009-08-15 05:53:11,"M. Rafeeq, Vinayak",0,12  0 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,8 /          28 /        2009,8/15/2009,5:53:11,88  0 E,N A,n.a. ppt
t710.edf,aug09a,11.85,89.0,2009-08-15 10:04:47,"M. Rafeeq, Vinayak",0,11 51 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,8 /          28 /        2009,8/15/2009,10: 4:47,89  0 E,N A,n.a. ppt
t711.edf,aug09a,11.7,90.0,2009-08-15 14:19:00,"M. Rafeeq, Vinayak",0,11 42 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,8 /          28 /        2009,8/15/2009,14:19: 0,90  0 E,N A,n.a. ppt
t712.edf,aug09a,11.55,90.98333,2009-08-15 18:32:46,"M. Rafeeq, Vinayak",0,11 33 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,8 /          28 /        2009,8/15/2009,18:32:46,90 59 E,N A,n.a. ppt
t713.edf,aug09a,11.36667,92.11667,2009-08-15 23:54:55,"M. Rafeeq, Vinayak",0,11 22 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,8 /          28 /        2009,8/15/2009,23:54:55,92  7 E,N A,n.a. ppt
t701.edf,aug13b,13.03333,80.55,2013-08-28 13:35:37,"Venugopal Reddy, Virroy Dias",0,13  2 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,9 /          24 /        2013,8/28/2013,13:35:37,80 33 E,N A,n.a. pp  t
t702.edf,aug13b,12.9,80.75,2013-08-28 14:46:30,"Venugopal Reddy, Virroy Dias",1,12 54 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,9 /          24 /        2013,8/28/2013,14:46:30,80 45 E,N A,n.a. pp  t
t703.edf,aug13b,12.8,81.0,2013-08-28 15:59:07,"Venugopal Reddy, Virroy Dias",2,12 48 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,9 /          24 /        2013,8/28/2013,15:59: 7,81  0 E,N A,n.a. pp  t
t704.edf,aug13b,12.65,81.33333,2013-08-28 17:35:51,"Venugopal Reddy, Virroy Dias",3,12 39 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,9 /          24 /        2013,8/28/2013,17:35:51,81 20 E,N A,n.a. pp  t
t705.edf,aug13b,12.46667,81.66667,2013-08-28 19:14:54,"Venugopal Reddy, Virroy Dias",4,12 28 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,9 /          24 /        2013,8/28/2013,19:14:54,81 40 E,N A,n.a. pp  t
t706.edf,aug13b,12.31667,82.0,2013-08-28 20:50:24,"Venugopal Reddy, Virroy Dias",5,12 19 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,9 /          24 /        2013,8/28/2013,20:50:24,82  0 E,N A,n.a. pp  t
t701.edf,aug14b,13.06667,80.5,2014-08-29 20:38:23,"Kranthi, Hari, Ugendra, Abhish",1,13  4 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,10 /          24 /        2014,8/29/2014,20:38:23,80 30 E,N A,n.a. pp  t
t702.edf,aug14b,12.98333,81.0,2014-08-29 22:52:52,"Kranthi, Hari, Ugendra, Abhish",2,12 59 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,10 /          24 /        2014,8/29/2014,22:52:52,81  0 E,N A,n.a. pp  t
t703.edf,aug14b,12.91667,81.5,2014-08-30 01:07:08,"Kranthi, Hari, Ugendra, Abhish",3,12 55 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,10 /          24 /        2014,8/30/2014,1: 7: 8,81 30 E,N A,n.a. pp  t
t713.edf,dec13,12.85,82.01667,2013-12-19 01:24:28,"Ralph, Siddesh",30,12 51 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,1 /           2 /        2014,12/19/2013,1:24:28,82  1 E,N A,n.a. pp  t
t714.edf,dec13,12.95,81.33333,2013-12-19 04:38:37,"Ralph, Siddesh",31,12 57 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,1 /           2 /        2014,12/19/2013,4:38:37,81 20 E,N A,n.a. pp  t
t715.edf,dec13,13.01667,81.0,2013-12-19 06:00:15,"Ralph, Siddesh",32,13  1 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,1 /           2 /        2014,12/19/2013,6: 0:15,81  0 E,N A,n.a. pp  t
t716.edf,dec13,13.03333,80.75,2013-12-19 07:15:25,"Ralph, Siddesh",33,13  2 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,1 /           2 /        2014,12/19/2013,7:15:25,80 45 E,N A,n.a. pp  t
t701.edf,feb14,13.06667,80.53333,2014-02-18 21:55:20,"Larsen Dcruz, Arunkumar",49,13  4 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,3 /          26 /        2014,2/18/2014,21:55:20,80 32 E,N A,n.a. pp  t
t702.edf,feb14,13.01667,81.0,2014-02-19 00:03:33,"Larsen Dcruz, Arunkumar",50,13  1 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,3 /          26 /        2014,2/19/2014,0: 3:33,81  0 E,N A,n.a. pp  t
t703.edf,feb14,12.95,81.33333,2014-02-19 01:41:45,"Larsen Dcruz, Arunkumar",51,12 57 N,0,XCTD,1000m,Standard,0.0,6.472,-0.00216,0.0,100.0%,Metric,3 /          26 /        2014,2/19/2014,1:41:45,81 20 E,N A,n.a. pp  t
