depSM,prDM,c0S/m,t090C,svCM,flECO-AFL,sbeox0ML/L,oxsatML/L,flag,Sal00,TraceID,folderpath_filename
0.047,0.222,3.24001,24.5612,1527.69,-0.0071,4.94697,7.2032,0.0,33.9828,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
0.493,0.671,3.235956,24.56,1527.51,0.0042,4.94669,7.20129,0.0,33.9601,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
1.001,1.182,3.235489,24.501,1527.52,-0.0084,4.94304,7.19956,0.0,33.9849,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
1.479,1.664,3.233664,24.4856,1527.43,-0.0013,4.92624,7.20171,0.0,33.9679,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
1.961,2.149,3.231296,24.4586,1527.47,0.0017,4.91703,7.20116,0.0,33.9747,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
2.534,2.727,3.226616,24.4144,1527.31,-0.0077,4.91882,7.19883,0.0,33.9512,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
2.965,3.161,3.228627,24.3882,1527.34,0.0042,4.91586,7.19449,0.0,33.9874,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
3.525,3.725,3.228459,24.3637,1527.17,-0.0045,4.88293,7.19989,0.0,33.9857,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
4.021,4.224,3.224782,24.3112,1527.22,-0.0091,4.88927,7.19424,0.0,33.9774,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
4.504,4.711,3.226077,24.297,1527.13,-0.0047,4.88777,7.19669,0.0,33.9846,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
5.011,5.222,3.221526,24.2692,1527.14,-0.0025,4.88318,7.20963,0.0,33.9795,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
5.5,5.715,3.220826,24.2425,1527.13,-0.0002,4.87531,7.1941,0.0,33.9827,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
6.007,6.225,3.218307,24.2089,1527.04,0.003,4.85544,7.19682,0.0,33.9898,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
6.507,6.729,3.219362,24.2282,1527.02,0.0017,4.8579,7.19854,0.0,33.9846,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
6.989,7.214,3.215135,24.1582,1526.89,-0.0086,4.85104,7.19956,0.0,33.9654,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
7.503,7.732,3.213189,24.111,1526.92,0.0123,4.84777,7.20277,0.0,33.9901,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
8.014,8.246,3.212537,24.0904,1526.8,0.0006,4.8539,7.20781,0.0,33.9786,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
8.49,8.726,3.208346,24.005,1526.68,-0.0013,4.82764,7.20445,0.0,33.9737,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
9.013,9.253,3.210141,24.0593,1526.77,-0.0153,4.85303,7.19684,0.0,33.9645,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
9.543,9.787,3.205746,23.9632,1526.6,-0.0083,4.81355,7.20529,0.0,33.9707,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
10.049,10.296,3.209024,24.0047,1526.59,-0.0017,4.80003,7.20379,0.0,33.9844,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
10.533,10.784,3.206646,23.9576,1526.62,-0.0122,4.80782,7.19657,0.0,33.9938,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
11.024,11.279,3.205779,23.9333,1526.55,0.0118,4.8176,7.20309,0.0,33.9893,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
11.507,11.765,3.20345,23.8808,1526.4,0.022,4.80003,7.20304,0.0,33.9901,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
12.035,12.298,3.201407,23.8581,1526.54,0.0002,4.7834,7.20095,0.0,33.9946,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
12.501,12.767,3.199927,23.8494,1526.49,-0.0046,4.80336,7.1955,0.0,33.9966,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
13.024,13.293,3.199249,23.7963,1526.32,0.0123,4.77775,7.19523,0.0,34.0044,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
13.551,13.824,3.197246,23.7714,1526.3,-0.0082,4.77752,7.20137,0.0,33.9914,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
13.986,14.262,3.19475,23.7284,1526.19,0.0071,4.76755,7.20199,0.0,34.0023,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
14.546,14.826,3.19319,23.6947,1526.21,0.0079,4.75757,7.20438,0.0,34.0016,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
14.981,15.264,3.19141,23.668,1526.07,0.0069,4.7681,7.20346,0.0,33.991,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
15.508,15.796,3.185651,23.5972,1526.02,0.0023,4.75098,7.20615,0.0,33.9865,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
16.049,16.34,3.187746,23.587,1525.96,-0.001,4.75844,7.20599,0.0,34.0032,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
16.486,16.78,3.186408,23.5685,1525.93,-0.0061,4.73965,7.19988,0.0,33.9948,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
17.049,17.348,3.180322,23.5083,1525.67,0.007,4.74839,7.19421,0.0,33.9913,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
17.536,17.838,3.181844,23.4931,1525.77,0.0164,4.74584,7.19704,0.0,33.9922,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
17.96,18.265,3.179,23.4415,1525.73,-0.0026,4.75575,7.19666,0.0,33.9988,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
18.482,18.791,3.178463,23.4069,1525.56,0.0055,4.72243,7.20099,0.0,34.0115,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
19.013,19.326,3.174273,23.3505,1525.5,0.0104,4.70711,7.20857,0.0,34.01,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
19.541,19.858,3.173508,23.355,1525.6,0.0112,4.7093,7.1948,0.0,33.9971,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
20.049,20.369,3.174751,23.3249,1525.55,0.009,4.70041,7.19922,0.0,33.9993,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
20.468,20.792,3.168288,23.2358,1525.3,0.0012,4.69008,7.19683,0.0,34.0057,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
20.995,21.323,3.170681,23.244,1525.38,0.0083,4.6805,7.19707,0.0,33.9948,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
21.501,21.832,3.167462,23.1882,1525.15,0.0111,4.68935,7.19934,0.0,33.9954,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
21.993,22.327,3.163865,23.1728,1525.24,0.0036,4.65929,7.19918,0.0,33.9941,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
22.465,22.803,3.16369,23.1381,1525.12,0.0184,4.66402,7.20177,0.0,34.0033,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
23.06,23.402,3.1628,23.0953,1525.17,0.0223,4.66903,7.1945,0.0,34.0086,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
23.484,23.829,3.162601,23.1149,1525.2,0.0149,4.67134,7.20516,0.0,34.0144,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
24.002,24.352,3.160253,23.0421,1525.05,0.0093,4.64515,7.19273,0.0,34.0152,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
24.489,24.842,3.157235,23.011,1524.97,0.0127,4.64434,7.20356,0.0,34.0129,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
25.018,25.375,3.153414,22.9644,1524.84,0.0158,4.63774,7.21181,0.0,34.0032,NA_NA_NA_NA_Nov14201006-03-53_CTD_06.cnv,CTD_06.cnv
