SourceFile,SourceFolder,SourceSubFolder,Station,Ship,Cruise,Depth,Latitude(decimal),Longitude(decimal),Datetime,Data_File,FileName,Temperature_SN,Conductivity_SN,No. of Parameters,No. of Records
1075.HDR,CMLRE_CTD,cr202\CR202-ctd,,FORV Sagar Sampada,202,238,17.343333,83.552222,10-04-2002 13:45,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1074.DAT,2881.0,2504.0,7.0,927.0
1076.HDR,CMLRE_CTD,cr202\CR202-ctd,,FORV Sagar Sampada,202,323,17.280833,83.494444,10-04-2002 17:17,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1075.DAT,2881.0,2504.0,7.0,1641.0
1077.HDR,CMLRE_CTD,cr202\CR202-ctd,,FORV Sagar Sampada,202,349,17.095,83.276111,11-04-2002 09:17,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1076.DAT,2881.0,2504.0,7.0,1362.0
1140.DAT,CMLRE_CTD,cr204\ctd204,,FORV Sagar Sampada,202 204,375 M,8.774833,75.8055,21-06-2002 11:54,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1140.DAT,2881.0,2504.0,,
1140A.DAT,CMLRE_CTD,cr204\ctd204,,FORV Sagar Sampada,202 204,428 M,8.732,75.853,21-06-2002 18:51,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1140A.DAT,2881.0,2504.0,,
1153.HDR,CMLRE_CTD,cr205\CTD205,1153,FORV SAGAR SAMPADA       SS,205,40,11.0,80.2,18-07-2002 00:46,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1153.dat,2881.0,2504.0,11.0,29.0
1154A.HDR,CMLRE_CTD,cr205\CTD205,1154a,FORV SAGAR SAMPADA,205,1482,11.017778,80.911667,18-07-2002 09:46,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1154a.dat,2881.0,2504.0,12.0,1000.0
1154B.HDR,CMLRE_CTD,cr205\CTD205,1154b,FORV SAGAR SAMPADA,205,"1437, time 1530",11.0,81.0,18-07-2002 15:49,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1154b.dat,2881.0,2504.0,12.0,999.0
1154C.HDR,CMLRE_CTD,cr205\CTD205,,FORV SAGAR SAMPADA,,,,,18-07-2002 22:36,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1154c.dat,2881.0,2504.0,12.0,316.0
1154MIC1.HDR,CMLRE_CTD,cr205\CTD205,1154micr,FORV SAGAR SAMPADA,205,1427,11.0,81.0,18-07-2002 13:26,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1154micro.dat,2881.0,2504.0,12.0,150.0
1154MICR.HDR,CMLRE_CTD,cr205\CTD205,1154micr,FORV SAGAR SAMPADA,205,1427,11.0,81.0,18-07-2002 13:26,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1154micro.dat,2881.0,2504.0,12.0,150.0
1154PAPA.HDR,CMLRE_CTD,cr205\CTD205,1,FORV SAGAR SAMPADA,205,1482,11.017778,80.911667,18-07-2002 09:20,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1154papa.dat,2881.0,2504.0,12.0,72.0
1154PP.HDR,CMLRE_CTD,cr205\CTD205,1154pp,FORV SAGAR SAMPADA,203b,1399,11.0,80.573611,18-07-2002 05:29,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1154pp.dat,2881.0,2504.0,12.0,118.0
1155PAPA.HDR,CMLRE_CTD,cr205\CTD205,1155papa,FORV SAGAR SAMPADA,205,3609,11.0,82.008611,19-07-2002 08:36,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1155papa.dat,2881.0,2504.0,12.0,77.0
1156.HDR,CMLRE_CTD,cr205\CTD205,1156,FORV SAGAR SAMPADA,205,3545,11.0,83.0,19-07-2002 20:43,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1156.dat,2881.0,2504.0,11.0,999.0
1156PAPA.HDR,CMLRE_CTD,cr205\CTD205,1156,FORV SAGAR SAMPADA,205,3545,11.0,83.0,19-07-2002 20:26,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1156papa.dat,2881.0,2504.0,13.0,123.0
1157.HDR,CMLRE_CTD,cr205\CTD205,1157,FORV SAGAR SAMPADA,205,3503m,11.0,84.0,20-07-2002 10:00,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1157.dat,2881.0,2504.0,12.0,1026.0
1157MIC1.HDR,CMLRE_CTD,cr205\CTD205,1157micro,FORV SAGAR SAMPADA,,,,,20-07-2002 13:10,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1157micro.dat,2881.0,2504.0,12.0,147.0
1157MICR.HDR,CMLRE_CTD,cr205\CTD205,1157micro,FORV SAGAR SAMPADA,,,,,20-07-2002 13:10,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1157micro.dat,2881.0,2504.0,13.0,147.0
1157PAPA.HDR,CMLRE_CTD,cr205\CTD205,1157papa,FORV SAGAR SAMPADA,205,3503m,11.0,84.0,20-07-2002 09:37,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1157papa.dat,2881.0,2504.0,12.0,73.0
1157PP.HDR,CMLRE_CTD,cr205\CTD205,1157pp,FORV SAGAR SAMPADA,205,3503m,11.0,84.0,20-07-2002 09:19,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1157pp.HDR,2881.0,2504.0,,
1158A.HDR,CMLRE_CTD,cr205\CTD205,1158A,FORV SAGAR SAMPADA,205,3311,13.0,84.0,21-07-2002 05:32,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1158A.dat,2881.0,2504.0,12.0,1005.0
1158B.HDR,CMLRE_CTD,cr205\CTD205,1158B,FORV SAGAR SAMPADA,205,3296,13.0,84.0,21-07-2002 12:07,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1158B.dat,2881.0,2504.0,12.0,1003.0
1158C.HDR,CMLRE_CTD,cr205\CTD205,1158,FORV SAGAR SAMPADA,205,3282,,,21-07-2002 18:32,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1158c.dat,2881.0,2504.0,12.0,1002.0
1158D.HDR,CMLRE_CTD,cr205\CTD205,1158c,FORV SAGAR SAMPADA,203,3294,13.0,84.0,22-07-2002 00:15,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1158d.dat,2881.0,2504.0,12.0,1003.0
1158MIC1.HDR,CMLRE_CTD,cr205\CTD205,,FORV SAGAR SAMPADA,,,,,21-07-2002 14:00,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1158micro.dat,2881.0,2504.0,12.0,73.0
1158MICR.HDR,CMLRE_CTD,cr205\CTD205,,FORV SAGAR SAMPADA,,,,,21-07-2002 14:00,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1158micro.dat,2881.0,2504.0,12.0,73.0
1158PP.HDR,CMLRE_CTD,cr205\CTD205,1158PP,FORV SAGAR SAMPADA,205,3311,13.0,84.0,21-07-2002 05:14,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1158PP.dat,2881.0,2504.0,12.0,120.0
1159.HDR,CMLRE_CTD,cr205\CTD205,1159,FORV SAGAR SAMPADA,205,3366,13.021667,82.9425,22-07-2002 13:33,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1159.dat,2881.0,2504.0,12.0,1004.0
1159PAP.HDR,CMLRE_CTD,cr205\CTD205,1159,FORV SAGAR SAMPADA,205,,13.021667,82.9425,22-07-2002 13:17,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1159pap.HDR,2881.0,2504.0,,
1159PP.HDR,CMLRE_CTD,cr205\CTD205,1159,FORV SAGAR SAMPADA,205,3366,13.021667,82.9425,22-07-2002 14:32,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1159pp.HDR,2881.0,2504.0,,
1160.HDR,CMLRE_CTD,cr205\CTD205,1160,FORV SAGAR SAMPADA,205,3441,13.0,82.0,22-07-2002 23:28,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1160.dat,2881.0,2504.0,12.0,57804.0
1161.HDR,CMLRE_CTD,cr205\CTD205,1161pp,FORV SAGAR SAMPADA,205,260,13.0,80.39,23-07-2002 10:21,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1161.dat,2881.0,2504.0,12.0,74.0
1161A.HDR,CMLRE_CTD,cr205\CTD205,1161A,FORV SAGAR SAMPADA,205,250,13.0,80.39,23-07-2002 10:44,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1161a.dat,2881.0,2504.0,12.0,249.0
1161MIC1.HDR,CMLRE_CTD,cr205\CTD205,1161,FORV SAGAR SAMPADA,205,277,13.0,80.666667,23-07-2002 11:42,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1161micro.dat,2881.0,2504.0,12.0,153.0
1161MICR.HDR,CMLRE_CTD,cr205\CTD205,1161,FORV SAGAR SAMPADA,205,277,13.0,80.666667,23-07-2002 11:42,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1161micro.dat,2881.0,2504.0,12.0,153.0
1161PP.HDR,CMLRE_CTD,cr205\CTD205,1161,FORV SAGAR SAMPADA,205,277,13.0,80.666667,23-07-2002 11:29,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1161pp.dat,2881.0,2504.0,12.0,109.0
1162.HDR,CMLRE_CTD,cr205\CTD205,1162,FORV SAGAR SAMPADA,205,50,13.0,80.416667,23-07-2002 16:02,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1162.dat,2881.0,2504.0,12.0,49.0
1162MDU.HDR,CMLRE_CTD,cr205\CTD205,1162,FORV SAGAR SAMPADA,205,50,13.0,80.416667,23-07-2002 16:23,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1162mdu.dat,2881.0,2504.0,12.0,48.0
1163.HDR,CMLRE_CTD,cr205\CTD205,1163,FORV SAGAR SAMPADA,205,253,15.0,80.25,24-07-2002 05:43,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1163.dat,2881.0,2504.0,12.0,229.0
1163B.HDR,CMLRE_CTD,cr205\CTD205,1163b,FORV SAGAR SAMPADA,205,1206,15.0,80.55,24-07-2002 12:04,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1163b.dat,2881.0,2504.0,12.0,999.0
1163C.HDR,CMLRE_CTD,cr205\CTD205,1163c,FORV SAGAR SAMPADA,205,265,15.0,80.416667,24-07-2002 19:34,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1163c.dat,2881.0,2504.0,12.0,251.0
1163MIC1.HDR,CMLRE_CTD,cr205\CTD205,1163b,FORV SAGAR SAMPADA,205,1206,15.0,80.55,24-07-2002 13:39,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1163micro.dat,2881.0,2504.0,12.0,147.0
1163MICR.HDR,CMLRE_CTD,cr205\CTD205,1163b,FORV SAGAR SAMPADA,205,1206,15.0,80.55,24-07-2002 13:39,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1163micro.dat,2881.0,2504.0,12.0,147.0
1163PAPA.HDR,CMLRE_CTD,cr205\CTD205,1163pp,FORV SAGAR SAMPADA,205,276,15.0,80.27,24-07-2002 06:57,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1163papa.dat,2881.0,2504.0,12.0,73.0
1163PP.HDR,CMLRE_CTD,cr205\CTD205,1163pp,FORV SAGAR SAMPADA,205,248,15.0,80.25,24-07-2002 05:17,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1163pp.dat,2881.0,2504.0,12.0,126.0
1164.HDR,CMLRE_CTD,cr205\CTD205,1164,FORV SAGAR SAMPADA,205,60,15.0,80.18,25-07-2002 00:29,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1164.dat,2881.0,2504.0,12.0,49.0
1165.HDR,CMLRE_CTD,cr205\CTD205,1165,FORV SAGAR SAMPADA,205,2841,15.0,82.0,25-07-2002 10:58,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1165.dat,2881.0,2504.0,12.0,74.0
1165A.HDR,CMLRE_CTD,cr205\CTD205,1165a,FORV SAGAR SAMPADA,205,2848,15.0,82.0,25-07-2002 11:24,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1165a.dat,2881.0,2504.0,12.0,866.0
1167.HDR,CMLRE_CTD,cr205\CTD205,1167,FORV SAGAR SAMPADA,205,1167,15.0,84.0,26-07-2002 04:06,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1167.dat,2881.0,2504.0,11.0,997.0
1167PAPA.HDR,CMLRE_CTD,cr205\CTD205,1167pp,FORV SAGAR SAMPADA,205,3117,15.004,84.176,26-07-2002 07:45,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1167papa.dat,2881.0,2504.0,12.0,75.0
1167PP.HDR,CMLRE_CTD,cr205\CTD205,1167pp,FORV SAGAR SAMPADA,205,3117,15.0,84.0,26-07-2002 06:44,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1167pp.dat,2881.0,2504.0,12.0,118.0
1168.HDR,CMLRE_CTD,cr205\CTD205,1168,FORV SAGAR SAMPADA,205,60,19.0,85.0,30-07-2002 09:03,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1168.dat,2881.0,2504.0,12.0,52.0
1168MICR.HDR,CMLRE_CTD,cr205\CTD205,1168micro,FORV SAGAR SAMPADA,205,60,19.0,85.0,30-07-2002 09:47,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1168micro.dat,2881.0,2504.0,11.0,47.0
1168PP.HDR,CMLRE_CTD,cr205\CTD205,1168pp,FORV SAGAR SAMPADA,205,60,19.0,85.0,30-07-2002 09:17,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1168pp.dat,2881.0,2504.0,11.0,46.0
1169.HDR,CMLRE_CTD,cr205\CTD205,1169,FORV SAGAR SAMPADA,205,1860,19.0,85.0,30-07-2002 18:47,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1169.dat,2881.0,2504.0,11.0,1866.0
1169TEST.HDR,CMLRE_CTD,cr205\CTD205,1169,FORV SAGAR SAMPADA,205,1860,19.0,85.0,30-07-2002 20:10,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1169test.HDR,2881.0,2504.0,,
1170.HDR,CMLRE_CTD,cr205\CTD205,1170,FORV SAGAR SAMPADA,205,21,20.29,87.0,31-07-2002 14:20,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1170.dat,2881.0,2504.0,12.0,14.0
1170MI2.HDR,CMLRE_CTD,cr205\CTD205,1170,FORV SAGAR SAMPADA,205,21,20.29,87.0,31-07-2002 14:54,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1170mi2.dat,2881.0,2504.0,12.0,2.0
1170MICR.HDR,CMLRE_CTD,cr205\CTD205,1170,FORV SAGAR SAMPADA,205,21,20.29,87.0,31-07-2002 14:46,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1170micr.dat,2881.0,2504.0,12.0,19.0
1170PP.HDR,CMLRE_CTD,cr205\CTD205,1170pp,FORV SAGAR SAMPADA,205,,19.0,86.0,31-07-2002 09:12,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1170pp.dat,2881.0,2504.0,13.0,31.0
1171.HDR,CMLRE_CTD,cr205\CTD205,1171,FORV SAGAR SAMPADA,205,115,20.483333,87.983333,01-08-2002 00:01,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1171.dat,2881.0,2504.0,12.0,103.0
1171PP.HDR,CMLRE_CTD,cr205\CTD205,1171pp,FORV SAGAR SAMPADA,205,115,20.0,87.0,01-08-2002 00:42,Sea-Bird SBE 9 Raw Data File,C:\CTDDATA\1171pp.dat,2881.0,2504.0,12.0,9.0
