SourceFile,SourceFolder,InputFile,Station,Ship,Cruise,Depth,Latitude(decimal),Longitude(decimal),Datetime,Ship_CD,Country_CD,Inst_Code,EEZ
sk103.csv,CTD_NIO_1m,SK_103_1,1,ORV Sagar Kanya,103,65,15.368,73.311,26-06-1995 23:50,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_2,2,ORV Sagar Kanya,103,95,15.382,73.115,27-06-1995 02:17,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_3,3,ORV Sagar Kanya,103,210,15.372,72.832,27-06-1995 05:19,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_4,4,ORV Sagar Kanya,103,600,15.303,72.767,27-06-1995 07:44,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_5,5,ORV Sagar Kanya,103,930,15.273,72.687,27-06-1995 10:15,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_6,6,ORV Sagar Kanya,103,1400,15.202,72.55,27-06-1995 13:34,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_7,7,ORV Sagar Kanya,103,1700,15.14,72.405,27-06-1995 16:57,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_8,8,ORV Sagar Kanya,103,2000,14.994,71.993,27-06-1995 21:20,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_9,9,ORV Sagar Kanya,103,2600,15.002,71.0,28-06-1995 05:24,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_10,10,ORV Sagar Kanya,103,2600,15.0,70.0,28-06-1995 13:48,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_11,11,ORV Sagar Kanya,103,2600,15.007,69.0,29-06-1995 01:07,SK,41,NIO,0
sk103.csv,CTD_NIO_1m,SK_103_12,12,ORV Sagar Kanya,103,0,15.0,68.002,29-06-1995 11:34,SK,41,NIO,0
sk103.csv,CTD_NIO_1m,SK_103_13,13,ORV Sagar Kanya,103,0,15.005,67.005,30-06-1995 08:01,SK,41,NIO,0
sk103.csv,CTD_NIO_1m,SK_103_14,14,ORV Sagar Kanya,103,0,15.002,66.002,30-06-1995 19:52,SK,41,NIO,0
sk103.csv,CTD_NIO_1m,SK_103_15,15,ORV Sagar Kanya,103,0,15.011,64.992,07-01-1995 07:04,SK,41,NIO,0
sk103.csv,CTD_NIO_1m,SK_103_16,16,ORV Sagar Kanya,103,0,15.002,64.007,07-01-1995 19:40,SK,41,NIO,0
sk103.csv,CTD_NIO_1m,SK_103_17,17,ORV Sagar Kanya,103,3900,15.005,63.002,07-02-1995 06:27,SK,41,NIO,0
sk103.csv,CTD_NIO_1m,SK_103_18,18,ORV Sagar Kanya,103,3950,15.05,62.066,07-02-1995 21:27,SK,41,NIO,0
sk103.csv,CTD_NIO_1m,SK_103_22,22,ORV Sagar Kanya,103,0,18.015,61.418,07-04-1995 13:47,SK,41,NIO,0
sk103.csv,CTD_NIO_1m,SK_103_23,23,ORV Sagar Kanya,103,0,19.009,62.009,07-04-1995 22:14,SK,41,NIO,0
sk103.csv,CTD_NIO_1m,SK_103_25,25,ORV Sagar Kanya,103,0,19.752,64.622,07-05-1995 20:13,SK,41,NIO,0
sk103.csv,CTD_NIO_1m,SK_103_26,26,ORV Sagar Kanya,103,0,19.0,67.0,07-06-1995 13:32,SK,41,NIO,0
sk103.csv,CTD_NIO_1m,SK_103_27,27,ORV Sagar Kanya,103,0,17.0,68.009,07-07-1995 09:02,SK,41,NIO,0
sk103.csv,CTD_NIO_1m,SK_103_29,29,ORV Sagar Kanya,103,0,15.185,71.503,07-08-1995 19:15,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_32,32,ORV Sagar Kanya,103,365,8.781,75.802,07-10-1995 23:03,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_33,33,ORV Sagar Kanya,103,310,8.841,75.963,07-11-1995 01:44,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_34,34,ORV Sagar Kanya,103,55,8.928,76.141,07-11-1995 04:29,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_35,35,ORV Sagar Kanya,103,40,8.986,76.319,07-11-1995 06:24,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_36,36,ORV Sagar Kanya,103,25,9.58,76.114,07-11-1995 10:44,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_37,37,ORV Sagar Kanya,103,33,10.184,75.889,07-11-1995 15:31,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_38,38,ORV Sagar Kanya,103,33,10.784,75.686,07-11-1995 20:34,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_39,39,ORV Sagar Kanya,103,33,10.632,75.604,07-11-1995 22:51,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_40,40,ORV Sagar Kanya,103,110,10.568,75.418,07-12-1995 01:03,SK,41,NIO,1
sk103.csv,CTD_NIO_1m,SK_103_41,41,ORV Sagar Kanya,103,260,10.5,75.25,07-12-1995 03:00,SK,41,NIO,1
