SourceFile,SourceFolder,SourceSubFolder,InputFile,Source,Ship,Cruise,Depth,Latitude(decimal),Longitude(decimal),Datetime,ProfileID,BottomDepth,Instrument,NLevels
INSS_profile1,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,41.0,17.5,83.22,15-03-2011 00:09,1.0,47.0,CTD,5.0
INSS_profile2,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,67.0,17.37,83.33,15-03-2011 00:11,2.0,88.0,CTD,7.0
INSS_profile3,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,214.0,17.24,83.44,15-03-2011 00:12,3.0,329.0,CTD,22.0
INSS_profile4,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,353.0,17.12,83.55,15-03-2011 00:14,4.0,855.0,CTD,36.0
INSS_profile5,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,452.0,16.98,83.67,15-03-2011 00:16,5.0,850.0,CTD,46.0
INSS_profile6,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,478.0,16.86,83.78,15-03-2011 00:17,6.0,2110.0,CTD,48.0
INSS_profile7,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,484.0,16.72,83.89,15-03-2011 00:19,7.0,2700.0,CTD,49.0
INSS_profile8,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,499.0,16.84,84.03,15-03-2011 00:21,8.0,2700.0,CTD,50.0
INSS_profile9,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,501.0,16.97,83.92,15-03-2011 00:22,9.0,2700.0,CTD,51.0
INSS_profile10,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,497.0,17.1,83.81,16-03-2011 00:00,10.0,2214.0,CTD,50.0
INSS_profile11,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,470.0,17.23,83.7,16-03-2011 00:01,11.0,1556.0,CTD,48.0
INSS_profile12,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,237.0,17.36,83.59,16-03-2011 00:03,12.0,318.0,CTD,24.0
INSS_profile13,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,56.0,17.48,83.48,16-03-2011 00:05,13.0,65.0,CTD,6.0
INSS_profile14,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,48.0,17.61,83.4,16-03-2011 00:06,14.0,58.0,CTD,5.0
INSS_profile15,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,42.0,17.72,83.51,16-03-2011 00:07,15.0,50.0,CTD,5.0
INSS_profile16,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,80.0,17.59,83.62,16-03-2011 00:08,16.0,85.0,CTD,9.0
INSS_profile17,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,433.0,17.46,83.73,16-03-2011 00:10,17.0,741.0,CTD,44.0
INSS_profile18,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,198.0,17.34,83.85,16-03-2011 00:11,18.0,2054.0,CTD,20.0
INSS_profile19,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,399.0,17.21,83.97,16-03-2011 00:13,19.0,2660.0,CTD,34.0
INSS_profile20,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,498.0,17.08,84.07,16-03-2011 00:14,20.0,2000.0,CTD,50.0
INSS_profile21,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,484.0,16.95,84.17,16-03-2011 00:15,21.0,2300.0,CTD,49.0
INSS_profile22,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,491.0,17.07,84.33,16-03-2011 00:17,22.0,2450.0,CTD,50.0
INSS_profile23,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,479.0,17.19,84.22,16-03-2011 00:18,23.0,2780.0,CTD,48.0
INSS_profile24,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,485.0,17.32,84.11,16-03-2011 00:20,24.0,2630.0,CTD,49.0
INSS_profile25,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,477.0,17.45,83.99,16-03-2011 00:21,25.0,2322.0,CTD,48.0
INSS_profile26,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,218.0,17.58,83.88,16-03-2011 00:23,26.0,308.0,CTD,22.0
INSS_profile27,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,52.0,17.7,83.77,17-03-2011 00:00,27.0,75.0,CTD,6.0
INSS_profile28,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,34.0,17.83,83.66,17-03-2011 00:01,28.0,45.0,CTD,4.0
INSS_profile29,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,33.0,17.95,83.81,17-03-2011 00:02,29.0,47.0,CTD,4.0
INSS_profile30,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,54.0,17.82,83.92,17-03-2011 00:03,30.0,70.0,CTD,6.0
INSS_profile31,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,93.0,17.69,84.03,17-03-2011 00:04,31.0,105.0,CTD,10.0
INSS_profile32,SAGARDHWANI-2011,Output_NODPAC_Sagardhwani2011,inssagardhwani2011.dat,NPOL,INSS,128.0,378.0,17.55,84.14,17-03-2011 00:05,32.0,1450.0,CTD,38.0
